project,revision
EkuboProtocol/abis,f4a16b959
EkuboProtocol/governance,799840d4a
EkuboProtocol/revenue-buybacks,0c7dfc156
HerodotusDev/integrity,fc39dd8c4
OpenZeppelin/cairo-contracts,f301f0372
access_control,0.5.0
alexandria_ascii,0.6.0
alexandria_btc,0.6.0
alexandria_bytes,0.6.0
alexandria_data_structures,0.6.0
alexandria_encoding,0.6.0
alexandria_evm,0.6.0
alexandria_json,0.6.0
alexandria_linalg,0.6.0
alexandria_macros,0.6.0
alexandria_math,0.6.0
alexandria_merkle_tree,0.6.0
alexandria_numeric,0.6.0
alexandria_searching,0.6.0
alexandria_sorting,0.6.0
alexandria_storage,0.6.0
alexandria_utils,0.6.0
avnu-labs/avnu-contracts-v2,29a31b6e3
chrono,0.1.0
diff,0.1.0
dojoengine/origami,81e49e9db
env_macro,0.1.0
fp,0.1.4
integrity,2.0.0
keep-starknet-strange/garaga,d72d1e038
keep-starknet-strange/memecoin-staking,de2f416b4
keep-starknet-strange/raito,f57fc40cb
keep-starknet-strange/s2morrow,b3aecfccf
keep-starknet-strange/scaffold-garaga,4f21cdbe4
keep-starknet-strange/shinigami,7e8c05d60
keep-starknet-strange/tokenized-bond,dce5d9cc7
openzeppelin,2.0.0
opus,1.3.0
oracle,0.1.0-dev.4
plugin_crate,0.1.4
pragma_lib,2.11.4
pretty_assertions,0.1.0
pretty_assertions_macro,0.1.0
snforge_scarb_plugin_deprecated,0.48.1
snforge_std,0.48.1
snforge_std_deprecated,0.48.1
starkware-libs/starknet-staking,5c11a5689
starkware_utils,1.0.0
starkware_utils_testing,1.0.0
string_utility,0.1.0
token_sender,0.5.1
wadray,0.6.1
x10xchange/starknet-perpetual,ef3154ea7
xoroshiro,1.1.0
